time,cuahsi-wdc-2016-05-05-55046159
1.4308092e+12,35.36
1.4308956e+12,35.09
1.430982e+12,35.0
1.4310684e+12,34.83
1.4311548e+12,34.69
1.4312412e+12,34.59
1.4313276e+12,34.5
1.431414e+12,34.4
1.4315004e+12,34.33
1.4315868e+12,34.25
1.4316732e+12,34.07
1.4317596e+12,34.11
1.431846e+12,33.98
1.4319324e+12,33.87
1.4320188e+12,33.77
1.4321052e+12,33.64
1.4321916e+12,33.5
1.432278e+12,33.44
1.4323644e+12,33.36
1.4324508e+12,33.28
1.4325372e+12,33.26
1.4326236e+12,33.23
1.43271e+12,33.18
1.4327964e+12,33.11
1.4328828e+12,33.1
1.4329692e+12,32.98
1.4330556e+12,33.19
1.433142e+12,33.2
1.4332284e+12,33.24
1.4333148e+12,33.29
1.4334012e+12,33.48
1.4334876e+12,33.78
1.433574e+12,33.93
1.4336604e+12,33.93
1.4337468e+12,34.09
1.4338332e+12,34.09
1.4339196e+12,34.03
1.434006e+12,34.04
1.4340924e+12,33.98
1.4341788e+12,33.98
1.4342652e+12,34.05
1.4343516e+12,34.15
1.434438e+12,34.3
1.4345244e+12,34.36
1.4346108e+12,34.48
1.4346972e+12,34.99
1.4347836e+12,35.04
1.43487e+12,35.52
1.4349564e+12,36.86
1.4350428e+12,37.58
1.4351292e+12,38.09
1.4352156e+12,38.24
1.435302e+12,38.39
1.4353884e+12,38.72
1.4354748e+12,39.21
1.4355612e+12,39.32
1.4356476e+12,39.32
1.435734e+12,40.06
1.4358204e+12,40.63
1.4359068e+12,40.35
1.4359932e+12,40.04
1.4360796e+12,39.71
1.436166e+12,39.6
1.4362524e+12,39.49
1.4363388e+12,39.5
1.4364252e+12,39.26
1.4365116e+12,39.04
1.436598e+12,38.92
1.4366844e+12,38.91
1.4367708e+12,38.86
1.4368572e+12,38.86
1.4369436e+12,38.81
1.43703e+12,39.36
1.4371164e+12,39.31
1.4372028e+12,39.24
1.4372892e+12,39.23
1.4373756e+12,39.19
1.437462e+12,39.14
1.4375484e+12,39.12
1.4376348e+12,39.13
1.4377212e+12,39.23
1.4378076e+12,39.24
1.437894e+12,39.24
1.4379804e+12,39.22
1.4380668e+12,39.16
1.4381532e+12,39.14
1.4382396e+12,39.12
1.438326e+12,39.13
1.4384124e+12,39.17
1.4384988e+12,39.25
1.4385852e+12,38.86
1.4386716e+12,38.45
1.438758e+12,38.36
1.4388444e+12,38.4
1.4389308e+12,38.53
1.4390172e+12,38.52
1.4391036e+12,38.52
1.43919e+12,38.53
1.4392764e+12,38.49
1.4393628e+12,38.49
1.4394492e+12,38.5
1.4395356e+12,38.48
1.439622e+12,38.45
1.4397084e+12,38.46
1.4397948e+12,39.57
1.4398812e+12,39.66
1.4399676e+12,39.84
1.440054e+12,39.86
1.4401404e+12,39.88
1.4402268e+12,39.95
1.4403132e+12,40.04
1.4403996e+12,40.09
1.440486e+12,40.2
1.4405724e+12,40.3
1.4406588e+12,40.33
1.4407452e+12,40.25
1.4408316e+12,40.11
1.440918e+12,39.94
1.4410044e+12,39.81
1.4410908e+12,39.68
1.4411772e+12,39.64
1.4412636e+12,39.57
1.44135e+12,39.58
1.4414364e+12,39.57
1.4415228e+12,39.89
1.4416092e+12,39.9
1.4416956e+12,39.94
1.441782e+12,39.94
1.4418684e+12,40.05
1.4419548e+12,40.14
1.4420412e+12,40.24
1.4421276e+12,40.25
1.442214e+12,40.18
1.4423004e+12,40.05
1.4423868e+12,40.0
1.4424732e+12,39.87
1.4425596e+12,39.79
1.442646e+12,39.64
1.4427324e+12,39.57
1.4428188e+12,39.46
1.4429052e+12,39.32
1.4429916e+12,39.19
1.443078e+12,39.53
1.4431644e+12,39.34
1.4432508e+12,39.0
1.4433372e+12,38.8
1.4434236e+12,38.67
1.44351e+12,38.61
1.4435964e+12,38.45
1.4436828e+12,38.49
1.4437692e+12,38.46
1.4438556e+12,38.2
1.443942e+12,37.93
1.4440284e+12,37.76
1.4441148e+12,37.58
1.4442012e+12,37.44
1.4442876e+12,37.32
1.444374e+12,37.23
1.4444604e+12,37.11
1.4445468e+12,37.01
1.4446332e+12,36.94
1.4447196e+12,36.81
1.444806e+12,36.76
1.4448924e+12,36.7
1.4449788e+12,36.65
1.4450652e+12,36.54
1.4451516e+12,36.4
1.445238e+12,36.29
1.4453244e+12,36.2
1.4454108e+12,36.03
1.4454972e+12,35.87
1.4455836e+12,35.78
1.44567e+12,35.71
1.4457564e+12,35.61
1.4458428e+12,35.51
1.4459292e+12,35.46
1.4460156e+12,35.34
1.446102e+12,35.27
1.4461884e+12,35.19
1.4462748e+12,35.11
1.4463612e+12,35.0
1.4464476e+12,34.82
1.446534e+12,34.78
1.4466204e+12,34.6
1.4467068e+12,34.95
1.4467932e+12,34.99
1.4468796e+12,34.98
1.446966e+12,34.89
1.4470524e+12,34.78
1.4471388e+12,34.71
1.4472252e+12,34.72
1.4473116e+12,34.75
1.447398e+12,34.74
1.4474844e+12,34.68
1.4475708e+12,34.56
1.4476572e+12,34.48
1.4477436e+12,34.53
1.44783e+12,34.39
1.4479164e+12,34.61
1.4480028e+12,34.6
1.4480892e+12,34.62
1.4481756e+12,34.57
1.448262e+12,34.46
1.4483484e+12,34.37
1.4484348e+12,34.28
1.4485212e+12,34.3
1.4486076e+12,34.33
1.448694e+12,34.32
1.4487804e+12,34.31
1.4488668e+12,34.3
1.4489532e+12,34.3
1.4490396e+12,34.32
1.449126e+12,34.27
1.4492124e+12,34.22
1.4492988e+12,34.23
1.4493852e+12,34.26
1.4494716e+12,34.21
1.449558e+12,34.21
1.4496444e+12,34.12
1.4497308e+12,34.01
1.4498172e+12,33.95
1.4499036e+12,33.95
1.44999e+12,33.87
1.4500764e+12,33.8
1.4501628e+12,33.8
1.4502492e+12,33.87
1.4503356e+12,33.91
1.450422e+12,33.94
1.4505084e+12,33.92
1.4505948e+12,34.24
1.4506812e+12,34.16
1.4507676e+12,34.02
1.450854e+12,34.0
1.4509404e+12,34.03
1.4510268e+12,33.99
1.4511132e+12,34.02
1.4511996e+12,34.07
1.451286e+12,33.94
1.4513724e+12,33.92
1.4514588e+12,33.92
1.4515452e+12,33.92
1.4516316e+12,33.95
1.451718e+12,33.92
1.4518044e+12,33.91
1.4518908e+12,33.77
1.4519772e+12,33.71
1.4520636e+12,33.48
1.45215e+12,33.66
1.4522364e+12,33.66
1.4523228e+12,33.7
1.4524092e+12,33.77
